"title_name","address1","address2","city","region","country","postalCode","competition_corner","price","priceCurrency","organizer","type_description","contact_details","startDate","startMonth","startYear","endDate","endMonth","endYear","page_url"
"CrossFit Licensed Arnold Fitness Games - Rx & Elite","NEC","NEC","Birmingham","","United Kingdom","B40 1NT","Competition Corner","100.0","GBP","Battle For Middle Ground","Onsite Competition for Individuals","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7876/details"
"Monster Throwdown 2022","CrossFit Lehi","401 S. 850 E. STE A3","Lehi","UT","United States","","Competition Corner","0.0","USD","CFL Events","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/6658/details"
"Team Pack Series 2022","Vienne CrossFit","673 chemin de la Gravière","Vienne","","France","38200","Competition Corner","0.0","EUR","Team Pack Series","Onsite Competition for Teams","","24","09","2022","25","09","2022","https://competitioncorner.net/events/7188/details"
"Boundary Throwdown","Boundary Belfast","D2, 19 Heron Road","Belfast","Down","United Kingdom","BT3 9LE","Competition Corner","0.0","GBP","Boundary Throwdown","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7330/details"
"Flex Fest ","John Dam Plaza","1815 George Washington Way","Richland","WA","United States","99354","Competition Corner","130.0","USD","","Onsite Competition for Individuals and teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7641/details"
"7th Annual Raise the Bar!","Juggernaut Fitness","24 Lexinton Drive","Laconia","NH","United States","03246","Competition Corner","0.0","USD","6th Annual Raise the Bar","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7776/details"
"Farm Throwdown ","The Goat Shed","21 Broadway Chilton Polden","Bridgwater","Somerset","United Kingdom","TA7 9DR","Competition Corner","0.0","GBP","Farm Throwdown","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7831/details"
"TOUGH'N'ROUGH 2022","Athletik Zentrum St. Gallen","Parkstrasse 2","St. Gallen","St. Gallen","Switzerland","9000","Competition Corner","","","TOUGH'N'ROUGH","Onsite Competition for Teams","","24","09","2022","25","09","2022","https://competitioncorner.net/events/7838/details"
"Battle on the Border 2022","Battle on the Border 2022","2001 Skyline Dr suite D400","Sherman","TX","United States","75092","Competition Corner","0.0","USD","Battle on the Border 2021","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7880/details"
"TFX Throwdown @ Koda CrossFit","Koda CrossFit","228 NW 60th St","Oklahoma City","OK","United States","73118","Competition Corner","0.0","USD","The Fittest Experience","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7974/details"
"TFX Throwdown @ D-Town CrossFit","D-Town CrossFit","155 Parkhouse St Suite 160","Dallas","TX","United States","75207","Competition Corner","0.0","USD","The Fittest Experience","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7976/details"
"TFX Throwdown @ Skyline CrossFit","Skyline CrossFit","551 N Shepherd Dr","Houston","TX","United States","77007","Competition Corner","0.0","USD","The Fittest Experience","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7977/details"
"Bristol Burnout Fitness Competition presented by Mycroft Signs","Bristol Motor Speedway","151 Speedway Blvd.","Bristol","TN","United States","37620","Competition Corner","0.0","USD","Bristol Burnout","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/8029/details"
"CrossFit 617 Partner Throwdown","CrossFit 617","62 Hill Top st","Dorchester","MA","United States","02124","Competition Corner","0.0","USD","","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/8130/details"
"CFE's Sugar & Spice 2022 Mixed Gender Partner Competition","CrossFit Exclamation","15 Wall Street","Burlington","MA","United States","01803","Competition Corner","0.0","USD","Coach","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7084/details"
"Fall Jam 2022","CrossFit Future","6788 Kilowatt Circle","Blacklick","OH","United States","43004","Competition Corner","0.0","USD","Fall Jam '22","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7053/details"
"Altisea Throwdown","Perpignan","Parc des Sports Moulin à Vent","Perpignan","Pyrénées-Orientales","France","66000","Competition Corner","","","Altisea Throwdown","Onsite Competition for Teams","","24","09","2022","25","09","2022","https://competitioncorner.net/events/7238/details"
"Battle in the Valley 2022; Finding the fittest pound for pound athletes in the West","CrossFit Vex","371 Indian Road, Suite A","Grand Junction","CO","United States","81501","Competition Corner","0.0","USD","CrossFit","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7508/details"
"Heros Throwdown ","Tubize","","","","Belgium","","Competition Corner","","","Heros Throwdown ","Onsite Competition for Teams","","24","09","2022","25","09","2022","https://competitioncorner.net/events/7822/details"
"Don't Put Me Down For Cardio","","","","","","","Competition Corner","10.0","USD","Girls Gone Rx","Virtual Competition for Individuals and teams","","24","09","2022","25","09","2022","https://competitioncorner.net/events/7953/details"
"Double Impact | Functional Fitness Events | South Coast","mountbatten centre","Alex Way, Hilsea","Portsmouth ","Hants","United Kingdom","PO2 9QA","Competition Corner","0.0","GBP","Double Impact","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/8053/details"
"EVERYDAY PEOPLE COMBINE 2022","SPORTS ACADEMY AT THE STAR","3800 Gaylord Parkway, Suite 120","FRISCO","TX","United States","75034","Competition Corner","195.0","USD","Everyday People Combine, LLC","Onsite Competition for Individuals and teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/7477/details"
"Meet your hero contest","CrossFit Brive la Gaillarde","41 avenue André Malraux","Brive","Corrèze","France","19100","Competition Corner","","","","Onsite Competition for Teams","","24","09","2022","24","09","2022","https://competitioncorner.net/events/8057/details"
"Midnight Comp For Charity","CrossFit Midnight Life Long Jetty","390-392 The Entrance Road","Long Jetty","NSW","Australia","2261","Competition Corner","0.0","AUD","Midnight Comp For Charity","Onsite Competition for Individuals and teams","","25","09","2022","25","09","2022","https://competitioncorner.net/events/7566/details"
"CrossFit Licensed Arnold Fitness Games - Teams","NEC","NEC","Birmingham","","United Kingdom","B40 1NT","Competition Corner","100.0","GBP","Battle For Middle Ground","Onsite Competition for Teams","","25","09","2022","25","09","2022","https://competitioncorner.net/events/7892/details"
"8th Annual SouthBay Box Crawl 2022","CrossFit Provoke","2312 PCH","Lomita ","CA","United States","90717","Competition Corner","75.0","USD","","Onsite Competition for Individuals and teams","","25","09","2022","25","09","2022","https://competitioncorner.net/events/7611/details"
"The CA Games","Mudeford Quay CrossFit","Unit 11 Priory Industrial Estate","Christchurch","Dorset","United Kingdom","BH23 4HD","Competition Corner","0.0","GBP","The CA Games","Onsite Competition for Teams","","25","09","2022","25","09","2022","https://competitioncorner.net/events/7655/details"
"TRIAD Series SAME SEX 3's","CrossFit Hereford ","Unit 1B Red Barn Drive","Hereford ","Herefordshire ","United Kingdom","HR49NS","Competition Corner","0.0","GBP","TRIAD Series ","Onsite Competition for Teams","","25","09","2022","25","09","2022","https://competitioncorner.net/events/8257/details"
"Royal Navy Operational Fitness League - 2022","","","","","","","Competition Corner","0.0","GBP","RN Functional Fitness League ","Virtual Competition for Individuals and teams","","26","09","2022","09","12","2022","https://competitioncorner.net/events/6480/details"
"Madrid CrossFit® Challenger Series Qualifier","","","","","","","Competition Corner","","","Madrid CrossFit Challenge Series","Virtual Competition for Individuals and teams","","26","09","2022","10","10","2022","https://competitioncorner.net/events/7189/details"
"The Rhino Open","","","","","","","Competition Corner","25.0","USD","The Rhino Open","Virtual Competition for Individuals","","29","09","2022","25","10","2022","https://competitioncorner.net/events/7909/details"
"Coastal Qualifier powered by Victory Grips","","","","","","","Competition Corner","20.0","USD","KO Fitness, LLC","Virtual Competition for Individuals and teams","","29","09","2022","25","10","2022","https://competitioncorner.net/events/7507/details"
"Affiliate League 2022","","מיקום משתנה לכל איבנט | Different Location For Each Event","","","Israel","gershonrez@gmail.com","Competition Corner","0.0","USD","R.E.L Throwdown","Onsite Competition for Teams","gershonrez@gmail.com","30","09","2022","26","11","2022","https://competitioncorner.net/events/8007/details"
"MetCon for Hope 2022","Double Edge Fitness - South Reno","6450 South Virginia Street","Reno","NV","United States","89511","Competition Corner","0.0","USD","","Onsite Competition for Teams","","30","09","2022","01","10","2022","https://competitioncorner.net/events/8076/details"
"MetCon for Hope Marathon Row Event ONLY","Double Edge Fitness - South Reno","6450 South Virginia Street","Reno","NV","United States","89511","Competition Corner","0.0","USD","","Onsite Competition for Teams","","30","09","2022","30","09","2022","https://competitioncorner.net/events/8204/details"
"The Mojave Desert Games 2022 - MDG","LM|FIT Athletic Facility","1375 E. State St.","Pahrump","NV","United States","89048","Competition Corner","","","Mojave Desert Games","Onsite Competition for Individuals and teams","","30","09","2022","01","10","2022","https://competitioncorner.net/events/7063/details"
"Train Harder Friday Night Throwdown ","Train Harder CrossFit","1017 Gunn Highway","Odessa","FL","United States","33556","Competition Corner","","","","Onsite Competition for Individuals","","30","09","2022","30","09","2022","https://competitioncorner.net/events/7664/details"
"Anarchy in the OK 10","CrossFit OKC","589 Enterprise Drive","Edmond","OK","United States","73013","Competition Corner","0.0","USD","Fitness Competition","Onsite Competition for Teams","","30","09","2022","01","10","2022","https://competitioncorner.net/events/7644/details"
"THE CRUCIBLE","","","","","","","Competition Corner","69.0","USD","The Crucible","Virtual Competition for Individuals","","01","10","2022","31","10","2022","https://competitioncorner.net/events/7783/details"
"Barbells and Burgers","CrossFit Awaken","155 Alma Street","Rockhampton","QLD","Australia","4701","Competition Corner","0.0","AUD","Heart and Soul Throwdown","Onsite Competition for Teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/7446/details"
"Battle Of The Iron Barbell 2022","CrossFit IB","D1/130 Kingston Road ","Underwood","QLD","Australia","4119","Competition Corner","0.0","AUD","Battle Of The Iron All Stars","Onsite Competition for Teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/8017/details"
"Guava Games 2022","CrossFit Big Guava","4708 N Nebraska Ave","Tampa","FL","United States","33604","Competition Corner","0.0","USD","Guava Games","Onsite Competition for Teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/8143/details"
"4Time CreateFit Cup Pairs comp","CreateFit","10 Meaden St, Southbank","Melbourne","VIC","Australia","3006","Competition Corner","0.0","AUD","CreateFit Cup","Onsite Competition for Teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/5155/details"
"MAYENNE THROWDOWN","Espace Mayenne","2 rue Joséphine Baker","Laval","Pays de la Loire","France","53000","Competition Corner","0.0","EUR","MAYENNE THROWDOWN 2022","Onsite Competition for Teams","","01","10","2022","02","10","2022","https://competitioncorner.net/events/7181/details"
"The Vegas Showdown","Bill and Lillie Heinrich YMCA","4141 Meadows Lane","Las Vegas","NV","United States","89107","Competition Corner","200.0","USD","Vegas Showdown","Onsite Competition for Individuals and teams","","01","10","2022","02","10","2022","https://competitioncorner.net/events/6102/details"
"Battle of the Vikings 2022","ODIN CrossFit","622 N Market St. ","Frederick","MD","United States","21701","Competition Corner","0.0","USD","Odin CrossFit","Onsite Competition for Teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/7447/details"
"THE BACK FROM HOLIDAYS CONTEST - AUTUMN EDITION 2022","CrossFit Nimes","2000 avenue marechal juin","nimes","gard","France","30900","Competition Corner","0.0","EUR","Back From Holidays Contest","Onsite Competition for Teams","","01","10","2022","02","10","2022","https://competitioncorner.net/events/8020/details"
"2022 FITober Fest","2020FIT","3710 W. 73rd Terr.","Prairie Village","KS","United States","66208","Competition Corner","0.0","USD","2020FIT","Onsite Competition for Teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/6212/details"
"2022 Caffeine and Kilos Invitational Team Fitness Competition","Old Town Plaza","9615 Railroad Street","Elk Grove","CA","United States","95624","Competition Corner","0.0","USD","Kristen Williams","Onsite Competition for Teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/7331/details"
"2022 Caffeine and Kilos Invitational Strongman Competition","Old Town Plaza Elk Grove, CA","9615 Railroad Street","Elk Grove","CA","United States","95624","Competition Corner","75.0","USD","Kristen Williams","Onsite Competition for Individuals","","01","10","2022","01","10","2022","https://competitioncorner.net/events/7846/details"
"WODSTOCK","Centre multisport ","605 Boulevard St Luc, Alma, QC G8B 2K8","Alma","QC","Canada","g8b6k3","Competition Corner","87.0","CAD","Défi Régional CrossFit O'Lac 2018","Onsite Competition for Individuals and teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/7851/details"
"2022 Tundra Games","CrossFit Tundra","623 S 48th St ","Grand Forks ","ND","United States","58201","Competition Corner","115.0","USD","","Onsite Competition for Individuals and teams","","01","10","2022","02","10","2022","https://competitioncorner.net/events/7868/details"
"Birmingham Beatdown","CrossFit Laminin","3333 Rocky Ridge","Birmingham","AL","United States","35243","Competition Corner","0.0","USD","Birmingham Beatdown","Onsite Competition for Teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/7881/details"
"Vitosha Weightlifting Championship 2022","Crossfit Vitosha","ul. Donka Ushlinova N2","Sofia","Sofia","Bulgaria","1000","Competition Corner","","","Vitosha Classic Online Qualifiers","Onsite Competition for Individuals","","01","10","2022","03","10","2022","https://competitioncorner.net/events/8071/details"
"Big Orange Brawl 2022","Chilhowee Park ","3301 E Magnolia Ave","Knoxville","TN","United States","37922","Competition Corner","","","Big Orange Brawl 2022","Onsite Competition for Individuals and teams","","01","10","2022","02","10","2022","https://competitioncorner.net/events/8140/details"
"NT's Fittest Team","CrossFit Abode South","3/7 Toupein Road","Yarrawonga","NT","Australia","0830","Competition Corner","0.0","AUD","NT's Fittest by CrossFit Abode","Onsite Competition for Teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/8187/details"
"Murph ","CrossFit SBM","66 rue pouilly-vinzelle ","Mâcon","france/bourgogne/saône et loire","France","71000","Competition Corner","0.0","USD","CrossFit SBM Mâcon & Montmerle-sur-Saône","Onsite Competition for Individuals","","01","10","2022","02","10","2022","https://competitioncorner.net/events/8288/details"
"Carthage Throwdown 2022","Carthage CrossFit","58 Bis, Charguia 1, Tunis, Tunisia","Tunis","Tunis","Tunisia","2035","Competition Corner","35.0","USD","","Onsite Competition for Individuals","","01","10","2022","02","10","2022","https://competitioncorner.net/events/7941/details"
"Battle of the Boyne ","Club Active Kells","Club Active Kells","Kells","Meath","Ireland","A82V9R0","Competition Corner","0.0","EUR","Battle of the Boyne","Onsite Competition for Teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/7159/details"
"Gent Throwdown 2022","Topsporthal Vlaanderen ","Zuiderlaan 14","Gent","Oost-Vlaanderen","Belgium","9000","Competition Corner","0.0","EUR","","Onsite Competition for Teams","","01","10","2022","02","10","2022","https://competitioncorner.net/events/7602/details"
"Madness In The Mat-Su ","Mat-Su CrossFit","","","AK","United States","","Competition Corner","","","Crossfit","Onsite Competition for Teams","","01","10","2022","02","10","2022","https://competitioncorner.net/events/7651/details"
"The Dutch Throwdown Finals 2022","Maaspoort","Marathonloop 1","Den Bosch","Noord-Brabant","Netherlands","5235 AA","Competition Corner","64.75","EUR","Cf Events","Onsite Competition for Individuals","","01","10","2022","02","10","2022","https://competitioncorner.net/events/7774/details"
"Mercy Classic 2022","Mercy Fitness Center - Tennis Courts","7600 Dallas St","Fort Smith","AR","United States","72903","Competition Corner","75.0","USD","Mercy Classic","Onsite Competition for Individuals","","01","10","2022","01","10","2022","https://competitioncorner.net/events/7799/details"
"Aces High Classic 22","HomeFront CrossFit","52 Lords Place","Orange","NSW","Australia","2800","Competition Corner","55.0","AUD","","Onsite Competition for Individuals and teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/7874/details"
"Estuary Contest Summer Edition ","CrossFit Estuary","31 rue Aristide Bergès","FLOIRAC","","France","33270","Competition Corner","","","Estuary Contest","Onsite Competition for Teams","","01","10","2022","02","10","2022","https://competitioncorner.net/events/7875/details"
"The Fitness Fair Fundraiser WOD","Jump Ship CrossFit West","94-137 Leoleo Street","Waipahu","HI","United States","96797","Competition Corner","0.0","USD","Jump Ship Training","Onsite Competition for Teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/8113/details"
"Kootenay Cup Event 3 hosted by CrossFit Framework","CrossFit Framework","1916 2 Ave S","Lethbridge","AB","Canada","T1J 0G6","Competition Corner","0.0","CAD","Kootenay Cup","Onsite Competition for Teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/8154/details"
"BATTLE OF THE BREASTS","Crossfit Zion","520 North 3050 East","St. George","UT","United States","84790","Competition Corner","0.0","USD","ZION TRAINING CENTER","Onsite Competition for Teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/8038/details"
"Chaos in the Cauldron ","Crossfit Calder","3/43 Slater Pde","Keilor East","ACT","Australia","3033","Competition Corner","0.0","AUD","","Onsite Competition for Teams","","01","10","2022","02","10","2022","https://competitioncorner.net/events/7673/details"
"UA COMBINE 2022 Thailand","อโศก-มักกะสันลิงค์","1643/5,7 ถ.เพชรบุรีตัดใหม่ มักกะสัน ราชเทวี กรุงเทพมหานคร","Bangkok ","Central Thailand","Thailand","10400","Competition Corner","70.0","USD","UA Sports (S.E.A.) Pte. Ltd.","Onsite Competition for Individuals and teams","","01","10","2022","01","10","2022","https://competitioncorner.net/events/7918/details"
"ALS to Ashes","CrossFit Fury","540 N Bullard Ave ","Goodyear","23","United States","85338","Competition Corner","50.0","USD","","Onsite Competition for Teams","","01","10","2022","02","10","2022","https://competitioncorner.net/events/8241/details"
"Unicorn And The Beasts 2022","CrossFit Amiens","55 Rue Sully","Amiens","Somme","France","80","Competition Corner","","","Unicorn Event","Onsite Competition for Teams","","02","10","2022","02","10","2022","https://competitioncorner.net/events/7956/details"
"The SW1 Four War Cup","SW1 Winchester - CrossFit Wessex","SW1 - Winchester. CrossFit Wessex, Unit E Wykeham Industrial Estate","Winchester","Hampshire","United Kingdom","SO23 7RX","Competition Corner","0.0","GBP","South West Series ","Onsite Competition for Teams","","02","10","2022","02","10","2022","https://competitioncorner.net/events/8083/details"
"Barcelona Throwdown   Qualifer  2022","","","","","","","Competition Corner","15.95","EUR","Cf Events","Virtual Competition for Teams","","03","10","2022","26","10","2022","https://competitioncorner.net/events/8055/details"
"Mr. America | Nobo CrossFit | Casino Clash ","ShowBoat Atlantic City","801 Boardwalk","Atlantic City","NJ","United States","08401","Competition Corner","","","NOBO CrossFit","Onsite Competition for Individuals and teams","","07","10","2022","09","10","2022","https://competitioncorner.net/events/6699/details"
"Koda Iron Games 2022, Teams of 3","koda CrossFit Iron View","1230 Etna Dr","Lafayette","CO","United States","80026","Competition Corner","0.0","USD","Koda Iron Games 2021","Onsite Competition for Teams","","07","10","2022","08","10","2022","https://competitioncorner.net/events/7763/details"
"Marbella Championship Individual Series 2022 Final Event","Palacio de Ferias y Congresos, Marbella"," Calle José Meliá 2 29602 Marbella, Málaga - Spain","Marbella","Málaga","Spain","29602","Competition Corner","120.0","EUR","Marbella Championship","Onsite Competition for Individuals","","07","10","2022","09","10","2022","https://competitioncorner.net/events/7114/details"
"CrossFit® Butchers Classics 2022","Farum Arena","Stavnsholtvej 41","Farum","Hovedstaden","Denmark","3520","Competition Corner","","","Butcher's Lab","Onsite Competition for Teams","","07","10","2022","09","10","2022","https://competitioncorner.net/events/8090/details"
"Koda Iron Games 2022, Masters Division","Koda CrossFit Iron View","1230 Etna Drive","Lafayettee ","CO","United States","80026","Competition Corner","","","Koda Iron Games 2021","Onsite Competition for Teams","","07","10","2022","08","10","2022","https://competitioncorner.net/events/7767/details"
"The Great Escape","Crossfit Escape","5 / 10 Side Street","Gladstone","QLD","Australia","4680","Competition Corner","170.0","AUD","CrossFit Escape","Onsite Competition for Teams","","08","10","2022","08","10","2022","https://competitioncorner.net/events/8079/details"
"RIVAL in the North 2022","UNITE Fitness","Building 4C, Swanston Drive, Waverley","Launceston","TAS","Australia","7250","Competition Corner","0.0","AUD","","Onsite Competition for Teams","","08","10","2022","09","10","2022","https://competitioncorner.net/events/7162/details"
"Unbound & Unleashed Teams (MM-FF)","Unbound Athletic ","1/28 Flinders Parade, North Lakes ","Brisbane","QLD","Australia","4509","Competition Corner","0.0","AUD","Unbound & Unleashed ","Onsite Competition for Teams","","08","10","2022","08","10","2022","https://competitioncorner.net/events/7801/details"
"Battle At Bomber Mountain","Bomber Mountain Barbell Club","1214 South Flat Rd","Worland","WY","United States","82401","Competition Corner","85.0","USD","Battle At Bomber Mountain","Onsite Competition for Individuals","","08","10","2022","08","10","2022","https://competitioncorner.net/events/7934/details"
"Babes and Barbells","Asbury Park CrossFit","23 Cindy ln ","Ocean township","NJ","United States","07712","Competition Corner","0.0","USD","Babes and Barbells","Onsite Competition for Teams","","08","10","2022","08","10","2022","https://competitioncorner.net/events/7936/details"
"2022 Apollo Games - Chapter Eleven","CrossFit Apollo","6535 N. Buffalo Dr. ","Las Vegas","NV","United States","89131","Competition Corner","0.0","USD","CrossFit Apollo","Onsite Competition for Teams","","08","10","2022","08","10","2022","https://competitioncorner.net/events/8115/details"
"Battle Cancer Barcelona 2022","Play Barcelona","Av. del Litoral, 115","Barcelona","Barcelona","Spain","08019 ","Competition Corner","65.0","EUR","Battle Cancer","Onsite Competition for Individuals and teams","","08","10","2022","08","10","2022","https://competitioncorner.net/events/6288/details"
"Rapace contest","Crossfit Rapace","45 rue des terres rouges","Allenjoie","Franche comté","France","25490","Competition Corner","","","Rapace contest","Onsite Competition for Teams","","08","10","2022","08","10","2022","https://competitioncorner.net/events/6799/details"
"SOUTHERN RIVALS - THE SQUADS","CrossFit Southampton @ Fairthorne Manor","Fairthorne Manor, Botley","Southampton","Hampshire","United Kingdom","SO30 2GH","Competition Corner","0.0","GBP","Southern Rivals","Onsite Competition for Teams","","08","10","2022","09","10","2022","https://competitioncorner.net/events/7034/details"
"BATTLE OF SANDVIKA 2022","","Kirkeveien 59","Høvik","","Norway","1363","Competition Corner","0.0","NOK","LFG Training","Onsite Competition for Teams","","08","10","2022","09","10","2022","https://competitioncorner.net/events/7077/details"
"MACC FEST","Howard County Fairgrounds","2210 Fairgrounds Road","West Friendship","MD","United States","21794","Competition Corner","200.0","USD","12 Labours CrossFit","Onsite Competition for Individuals and teams","","08","10","2022","09","10","2022","https://competitioncorner.net/events/7678/details"
"Witches and Warlocks Throwdown","Affirmation Health and Fitness","4 Puzzle Lane ","Newton","NH","United States","03865","Competition Corner","","","","Onsite Competition for Teams","","08","10","2022","08","10","2022","https://competitioncorner.net/events/7766/details"
"Fit489 Mixed Pairs","Fit489 - Mosgiel","20 Mcglashan Street","Mosgiel","Otago","New Zealand","9024","Competition Corner","0.0","NZD","Fit489 - Mixed Pairs Comp","Onsite Competition for Teams","","08","10","2022","08","10","2022","https://competitioncorner.net/events/7809/details"
"7th Annual Babes w/ Barbells","CrossFit Thunder ","5th Avenue ","Huntington","WV","United States","25703","Competition Corner","50.0","USD","7th Annual Babes W/ Barbells","Onsite Competition for Individuals","","08","10","2022","08","10","2022","https://competitioncorner.net/events/7845/details"
"Nightmare on XLR8 Street","CrossFit XLR8","202 TX 35 ","Gregory","TX","United States","78359","Competition Corner","50.0","USD","Halloween Themed CrossFit Event!","Onsite Competition for Individuals and teams","","08","10","2022","08","10","2022","https://competitioncorner.net/events/8054/details"
"CrossFit Löwe Farm Games 2022","Robi and Steven Heath's Farm House","See Members Group for Address","Crossroads","TX","United States","76227","Competition Corner","50.0","USD","","Onsite Competition for Individuals","","08","10","2022","08","10","2022","https://competitioncorner.net/events/8176/details"
"MASSILIA CONTEST 3","CrossFit Massilia 2","189/191 Bd de la Valbarelle ","Marseille","","France","13011","Competition Corner","0.0","EUR","Massilia Contest","Onsite Competition for Teams","","08","10","2022","08","10","2022","https://competitioncorner.net/events/8202/details"
"2022 Bidwell Brawl","North Rim CrossFit","2954 HWY 32, SUITE 900","Chico","CA","United States","95973","Competition Corner","0.0","USD","","Onsite Competition for Teams","","08","10","2022","08","10","2022","https://competitioncorner.net/events/7435/details"
"Stimulus Unknown","Reno/Sparks Convention Center","4590 S. Virginia St.","Reno","NV","United States","89502","Competition Corner","110.0","USD","Stimulus","Onsite Competition for Individuals and teams","","08","10","2022","09","10","2022","https://competitioncorner.net/events/7585/details"
"Firebreather Throwdown 5","CrossFit Aero","4450 Pet Lane Suite 102","Lutz","FL","United States","33559","Competition Corner","0.0","USD","Firebreather Throwdown Four","Onsite Competition for Teams","","08","10","2022","08","10","2022","https://competitioncorner.net/events/7883/details"
"610 Dry Tri","Cross Fit 610","22975 Perimeter Dr","Lebanon","MO","United States","65536","Competition Corner","0.0","USD","CrossFit 610","Onsite Competition for Teams","","08","10","2022","08","10","2022","https://competitioncorner.net/events/8171/details"
"Memphis' Most Fun Fitness Competition","NBS Fitness Cordova","556 Trinity Creek Cove","Cordova","TN","United States","38018","Competition Corner","0.0","USD","NBS Fitness","Onsite Competition for Teams","","08","10","2022","08","10","2022","https://competitioncorner.net/events/8225/details"
"Kootenay Klash","Elevate Athletics","1430 Cedar Ave","Trail","BC","Canada","V1R 4C4","Competition Corner","100.0","CAD","","Onsite Competition for Teams","","08","10","2022","08","10","2022","https://competitioncorner.net/events/8272/details"
"CrossFit Cibolo's 4th Annual In-House Competition","CrossFit Cibolo","275 Pfeil Rd. ","Cibolo","TX","United States","78108","Competition Corner","20.0","USD","CrossFit Cibolo","Onsite Competition for Individuals","","08","10","2022","08","10","2022","https://competitioncorner.net/events/8251/details"
"Fall Frenzy 2022 x Barbells for Boobs","","","","","","","Competition Corner","20.0","USD","FitnessComps","Virtual Competition for Individuals","","09","10","2022","31","10","2022","https://competitioncorner.net/events/8239/details"
"MADEC BATTLEFIELD","CrossFit MADEC 2","1 rue de l'artisanat","Bonnefamille","","France","38090","Competition Corner","","","MADEC BATTLEFIELD","Onsite Competition for Teams","","09","10","2022","09","10","2022","https://competitioncorner.net/events/7821/details"
"Casteu Contest 6eme edition","Rognonas","za de la horsiere ","rognonas","13870","France","","Competition Corner","0.0","EUR","CASTEU CONTEST ","Onsite Competition for Teams","","09","10","2022","09","10","2022","https://competitioncorner.net/events/8080/details"
"2571 IN-HOUSE COMP","CrossFit 2571 Picton","4/39 Henry St","Picton","NSW","Australia","2571","Competition Corner","0.0","AUD","CrossFit 2571 Picton","Onsite Competition for Teams","","09","10","2022","09","10","2022","https://competitioncorner.net/events/7870/details"
"Girls Gone Rx UK x Real Fitness Gym","Real Fitness Gym","Unit 5-7 Willowburn Industrial estate ","Alnwick","Northumberland ","United Kingdom","NE662PF","Competition Corner","0.0","GBP","Girls Gone RX Europe","Onsite Competition for Teams","","09","10","2022","09","10","2022","https://competitioncorner.net/events/7756/details"
"The Fittest Experience 2023 Online Qualifier","","","","","","","Competition Corner","34.98","USD","The Fittest Experience","Virtual Competition for Individuals and teams","","12","10","2022","25","10","2022","https://competitioncorner.net/events/8131/details"
"The Iron Games 2022","Diamond Z Arena","11 S Cross Hollow Dr","Cedar City","UT","United States","84720","Competition Corner","295.0","USD","","Onsite Competition for Individuals and teams","","13","10","2022","15","10","2022","https://competitioncorner.net/events/6707/details"
"2022 MASTERS LEAGUE GAMES","THE TIMBER YARD","351 Plummer St,  ","Port Melbourne","VIC","Australia","3207","Competition Corner","","","Masters League Games","Onsite Competition for Individuals and teams","","14","10","2022","16","10","2022","https://competitioncorner.net/events/7601/details"
"Halmstad Throwdown 2022","Halmstad Arena","Växjövägen 11","Halmstad","","Sweden","30244","Competition Corner","0.0","SEK","CrossFit Licensed Event","Onsite Competition for Teams","","14","10","2022","15","10","2022","https://competitioncorner.net/events/7060/details"
