"store_name","address","postalcode","phone","fax","mail","map_url","page_url"
"Fort St. John","9311 96 Street ","V1J 6V5","250-787-6080","866-270-6652","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@56.2399685,-120.8411486,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xde1ac24183235b1c!8m2!3d56.2399685!4d-120.8389599?hl=en","https://jiffylubeservice.ca/locations/fort-st-john/jiffy-fort-st-john/"
"Kamloops","1395 Battle Street ","V2C 2N9","250-377-8896","250-377-8981","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@50.6728979,-120.3090784,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x75d4d3e969a34703!8m2!3d50.6728979!4d-120.3068897?hl=en","https://jiffylubeservice.ca/locations/kamloops/jiffy-kamloops/"
"Kelowna Harvey","1995 Harvey Avenue #3 ","V1Y 6G5","250-980-3501","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.881819,-119.4524218,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x63fcd1e4323c01f!8m2!3d49.881819!4d-119.4502331?hl=en","https://jiffylubeservice.ca/locations/kelowna/jiffy-kelowna-harvey/"
"Kelowna Sexsmith","3481 Sexsmith Road #1 ","V1X 7T5","250-765-0652","250-765-9122","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.9175978,-119.3913111,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xddbe6ba267caf115!8m2!3d49.9175978!4d-119.3891224?hl=en","https://jiffylubeservice.ca/locations/kelowna/jiffy-kelowna-sexsmith/"
"Langley","20139 Fraser Highway ","V3A 4E4","604-539-0142","604-539-0164","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.10737,-122.6664866,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x31121a12b95bc9eb!8m2!3d49.10737!4d-122.6642979?hl=en","https://jiffylubeservice.ca/locations/langley/jiffy-langley/"
"Maple Ridge","20284 Dewdney Trunk Road ","V2X 3E1","604-465-0181","","info@jiffylubeservice.ca","https://www.google.com/maps?cid=4073603293556103657&hl=en&_ga=2.158540351.46858669.1505329257-1505543483.1505329257","https://jiffylubeservice.ca/locations/maple-ridge/jiffy-maple-ridge/"
"New Westminster","110 805 Boyd Street ","V3M 5X2","604-527-7112","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.190601,-122.952846,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xcd7c4e29f939cb25!8m2!3d49.190601!4d-122.9506573?hl=en","https://jiffylubeservice.ca/locations/new-westminster/jiffy-new-westminster/"
"Penticton","2695 Skaha Lake Road Unit 106 ","V2A 6E8","250-492-6515","250-492-6509","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.4666364,-119.5885542,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xbe33ead54ba83c12!8m2!3d49.4666364!4d-119.5863655?hl=en","https://jiffylubeservice.ca/locations/penticton/jiffy-penticton/"
"Port Alberni","4687 Johnston Road ","V9Y 5M5","250-723-4669","250-723-4615","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.259989,-124.8105797,17z/data=!3m1!4b1!4m5!3m4!1s0x5488f6fd5680f1dd:0x8e1aeafe40c177b4!8m2!3d49.259989!4d-124.808391?hl=en","https://jiffylubeservice.ca/locations/port-alberni/jiffy-port-alberni/"
"Richmond","10991 No 4 Road ","V7A 2Z5","604-448-0142","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.13369,-123.1168517,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xef65816d8692d634!8m2!3d49.13369!4d-123.114663?hl=en","https://jiffylubeservice.ca/locations/richmond/jiffy-richmond/"
"Salmon Arm","2991M  - 10 Avenue (TCH) SW ","V1E 0C3","778-489-3778","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@50.6946565,-119.3177927,17z/data=!4m12!1m6!3m5!1s0x0:0xdaaba99227ebc583!2sJiffy+Lube!8m2!3d50.6945018!4d-119.31857!3m4!1s0x0:0xdaaba99227ebc583!8m2!3d50.6945018!4d-119.31857?hl=en","https://jiffylubeservice.ca/locations/salmon-arm/jiffy-salmon-arm/"
"Surrey 120th Street","7812 120 Street ","V3W 3N2","604-590-6535","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.1452058,-122.8921495,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x75800d42168125ef!8m2!3d49.1452058!4d-122.8899608?hl=en","https://jiffylubeservice.ca/locations/surrey/jiffy-surrey-120th-street/"
"Surrey 132nd Street","7228 132 Street ","V3W 4M4","604-543-1700","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.134312,-122.8585617,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xc4bdfd2c486de7af!8m2!3d49.134312!4d-122.856373?hl=en","https://jiffylubeservice.ca/locations/surrey/jiffy-surrey-132nd-street/"
"Surrey 32nd Avenue","15120 32nd Avenue Diversion ","V3S 4N7","604-542-9777","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.0607435,-122.8057273,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x19b4575fb555a8d8!8m2!3d49.0607435!4d-122.8035386?hl=en","https://jiffylubeservice.ca/locations/surrey/jiffy-surrey-32nd-avenue/"
"Vancouver","394 Kingsway ","V5T 3J8","604-872-8766","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.2594747,-123.0991512,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x4f4c1a8fba12aa14!8m2!3d49.2594747!4d-123.0969625?hl=en","https://jiffylubeservice.ca/locations/vancouver/jiffy-vancouver/"
"Victoria","708 Bay Street ","V8T 1R2","250-389-1326","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@48.4358628,-123.3674174,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x57977707f413d611!8m2!3d48.4358628!4d-123.3652287?hl=en","https://jiffylubeservice.ca/locations/victoria/jiffy-victoria/"
"Westbank","3010 Louie Drive ","V4T 3E1","250-768-3010","250-768-3026","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@49.8360572,-119.620866,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x2abbd9d86e5fc23c!8m2!3d49.8360572!4d-119.6186773?hl=en","https://jiffylubeservice.ca/locations/westbank/jiffy-westbank/"
"Prince Albert","880 Cornerstone, 800-15 Street East ","S6V 8E3","306-953-0950","306-953-0951","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@53.200205,-105.7295783,270m/data=!3m1!1e3!4m12!1m6!3m5!1s0x0:0x75b1eb77fe19d714!2sJiffy+Lube!8m2!3d53.1998421!4d-105.7279264!3m4!1s0x0:0x75b1eb77fe19d714!8m2!3d53.1998421!4d-105.7279264?hl=en","https://jiffylubeservice.ca/locations/prince-albert/jiffy-prince-albert/"
"Whitehorse","3211 3rd Avenue ","Y1A 5R3","867-633-5433","","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@60.727078,-135.0624134,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x38814fc0c8c4189b!8m2!3d60.727078!4d-135.0602247?hl=en","https://jiffylubeservice.ca/locations/whitehorse/jiffy-whitehorse/"
"Yellowknife","480c Range Lake Road ","X1A 3R9","867-873-9222","867-873-9229","info@jiffylubeservice.ca","https://www.google.com/maps/place/Jiffy+Lube/@62.446641,-114.4120276,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x59a84415dd0de7d3!8m2!3d62.446641!4d-114.4098389?hl=en","https://jiffylubeservice.ca/locations/yellowknife/jiffy-yellowknife/"
